name,meal_type,servings_original,servings_scaled,scale_factor,scaling_warnings,prep_time,cook_time,total_time,ease,ingredients_original,ingredients_scaled,method,source_url,scraped_date,tags_key_ingredients,tags_cuisine,tags_season,tags_diet
Easy vegetarian chilli,main,8,4,0.5,chilli | paprika | cloves,25m,55m,,0.6846,"2 tbsp vegetable oil | 2 carrots finely chopped | 2 celery sticks finely chopped | 2 onions finely chopped | 2 tsp dried mixed herbs | 2 garlic cloves crushed or finely grated | 1 red pepper sliced | 1 green pepper sliced | 2-3 tsp chilli powder (depending on how hot you like it) | 2 tsp sweet smoked paprika | 2 tbsp tomato purée | 400g can red kidney beans, drained | 400g can black beans, drained | 2 x 400g cans chopped tomatoes | 400ml vegetable stock | cooked rice grated cheddar and soured cream, to serve","1 tbsp vegetable oil | 1carrots finely chopped | 1celery sticks finely chopped | 1onions finely chopped | 1 tsp dried mixed herbs | 1garlic cloves crushed or finely grated | 0.5red pepper sliced | 0.5green pepper sliced | 1-1.5 tsp chilli powder (depending on how hot you like it) | 1 tsp sweet smoked paprika | 1 tbsp tomato purée | 200 g can red kidney beans, drained | 200 g can black beans, drained | 1x 200 g cans chopped tomatoes | 200 ml vegetable stock | cooked rice grated cheddar and soured cream, to serve","Heat the oil in a large saucepan over a low-medium heat and fry the carrots, celery, onions and mixed herbs for 10-12 mins, stirring occasionally until the veg is soft but not golden. You may need to add a splash of water if the veg starts to catch. | Stir in the garlic and both peppers, and cook for a further 5 mins until the peppers begin to soften. Sprinkle in the chilli powder and paprika, turn up the heat to medium, then stir and cook for 1 min. Mix in the tomato purée and cook for a further 1 min, then pour in all of the beans, the tomatoes and stock. | Stir well, bring to the boil, then reduce the heat to a simmer. Cook for 25-35 mins until the beans are tender and the sauce has thickened. Serve with rice, grated cheddar and soured cream, if you like.",https://www.bbcgoodfood.com/recipes/easy-vegetarian-chilli,2026-06-16,bean | rice,Mexican | chilli,Autumn | Winter,vegetarian
Macaroni cheese,main,Serves 4,4,1,,30m,30m,,0.7433,"250g/9oz macaroni | 40g/1½oz butter | 40g/1½ plain flour | 600ml/20fl oz milk | 250g/9oz cheddar, grated | 50g/2oz Parmesan (or a similar vegetarian alternative), finely grated","250g/9oz macaroni | 40g/1½oz butter | 40g/1½ plain flour | 600ml/20fl oz milk | 250g/9oz cheddar, grated | 50g/2oz Parmesan (or a similar vegetarian alternative), finely grated","Cook the macaroni in a large saucepan of boiling salted water for 8–10 minutes. Drain well and set aside. | Melt the butter over a medium heat in a saucepan slightly larger than that used for the macaroni. Add the flour and stir to form a roux, cooking for a few minutes. | Gradually whisk in the milk, a little at a time. Cook for 10–15 minutes to a thickened and smooth sauce. | Meanwhile, preheat the grill to hot. | Remove the sauce from the hob, add 175g/6oz of the cheddar and stir until it is well combined and melted. | Add the macaroni to the sauce and mix well. Transfer to a deep suitably-sized ovenproof dish. | Sprinkle over the remaining cheddar and the Parmesan and place the dish under the hot grill. Cook until the cheese is browned and bubbling. Serve straightaway.",https://www.bbc.co.uk/food/recipes/macaronicheese_83521,2026-07-14,pasta | cheese,British | bake,Winter,vegetarian
Italian veggie balls,main,Serves 4 generously,4,1,,1h,1h,,0.4106,"225g/8oz dried brown lentils | 2 onions, finely chopped | 1 tbsp olive oil, plus a tsp extra for greasing | 4 garlic cloves, crushed | 100g/3½oz baby spinach | 4 tbsp pesto | 1 lemon, zest only | 50g/1¾oz pine nuts, toasted (alternatively use finely chopped almonds or, for a nut-free alternative, the same quantity of whole oats) | 1 large free-range egg | 50g/1¾oz fresh breadcrumbs (wholemeal or white) | 300g/10½oz dried spaghetti | 2 x 400g tins chopped tomatoes | 2 tbsp tomato purée | 1 tsp red wine vinegar | 1 tbsp granulated or caster sugar | few basil leaves, plus extra to serve | salt and freshly ground black pepper","225g/8oz dried brown lentils | 2 onions, finely chopped | 1 tbsp olive oil, plus a tsp extra for greasing | 4 garlic cloves, crushed | 100g/3½oz baby spinach | 4 tbsp pesto | 1 lemon, zest only | 50g/1¾oz pine nuts, toasted (alternatively use finely chopped almonds or, for a nut-free alternative, the same quantity of whole oats) | 1 large free-range egg | 50g/1¾oz fresh breadcrumbs (wholemeal or white) | 300g/10½oz dried spaghetti | 2 x 400g tins chopped tomatoes | 2 tbsp tomato purée | 1 tsp red wine vinegar | 1 tbsp granulated or caster sugar | few basil leaves, plus extra to serve | salt and freshly ground black pepper","Heat the oven to 200C/180C Fan/Gas 6. Cook the lentils in a large pan of boiling water for 20–25 minutes until soft. Drain really well, then leave sitting in the sieve to finish drying and draining for 5 minutes. Put the kettle on. | Meanwhile fry the chopped onions in the oil over a medium heat until soft, but not brown, for about 10 minutes. Stir in the garlic, then cook together for 2 minutes more. Scrape half of the onion mixture out of the pan and into a food processor – leave the rest in the pan for the sauce. | Put the spinach in a colander and pour over the boiling water from the kettle to wilt the spinach. When cool enough to touch, squeeze as much liquid out of the spinach as you can. | Tip the cooked lentils into the food processor with the onions, then add the spinach, pesto and lemon zest. Blend until the mixture is combined, but don’t blend to a complete mush. Pulse in the pine nuts (or almonds or oats). Scrape into a mixing bowl and combine with the egg and breadcrumbs. Season with salt and pepper and mix thoroughly. | Roll into 20 balls, place on a greased baking tray and bake for 15–20 minutes, or until golden-brown and firm. | Meanwhile make the sauce. Add the tinned tomatoes, tomato purée, vinegar and sugar to the onion pan along with 500ml/18fl oz water. Stir in some basil leaves and a little salt and freshly ground black pepper to taste. Bring to a simmer and bubble for 15–18 minutes over a medium heat. | Meanwhile cook the pasta according to the packet instructions. | When the meat-free balls are browned and cooked through, stir them in the sauce. Scatter with more basil leaves and serve with the spaghetti.",https://www.bbc.co.uk/food/recipes/italian_veggie_balls_67591,2026-07-14,lentil | spaghetti,Italian | pasta,Autumn | Winter,vegetarian
Mushroom and lentil ragù,main,Serves 6–8,4,0.667,cinnamon | cloves | salt,30m,2h,,0.56,"2 onions, roughly chopped | 2 carrots, peeled and roughly chopped | 2 garlic cloves, roughly chopped | 2 celery sticks, roughly chopped | 5 tbsp olive oil | 300g/10½oz chestnut mushrooms, wiped | 2 tbsp tomato purée | 1 tsp dried oregano | ½ tsp ground cinnamon | 1 tsp caster sugar (optional) | 400g tin lentils, including the liquid from the tin | 200ml/7fl oz full-fat milk (or plant-based milk) | sea salt and freshly ground black pepper | freshly cooked pasta, to serve | grated hard cheese (such as Parmesan, or a vegetarian or vegan alternative), to serve (optional)","1.33onions, roughly chopped | 1.33carrots, peeled and roughly chopped | 1.33garlic cloves, roughly chopped | 1.33celery sticks, roughly chopped | 3.33 tbsp olive oil | 200g/6.670.33 oz chestnut mushrooms, wiped | 1.33 tbsp tomato purée | 0.67 tsp dried oregano | 0.33 tsp ground cinnamon | 0.67 tsp caster sugar (optional) | 266.67 g tin lentils, including the liquid from the tin | 133.33 ml/4.67 fl oz full-fat milk (or plant-based milk) | sea salt and freshly ground black pepper | freshly cooked pasta, to serve | grated hard cheese (such as Parmesan, or a vegetarian or vegan alternative), to serve (optional)","Place the onion, carrot, garlic and celery in the bowl of a food processor and blend until finely chopped. This can be done by hand, but it’s a lot quicker in a food processor. | Heat the oil in a wide saucepan or casserole, add the chopped vegetables and fry over a medium–low heat for 5 minutes. | Meanwhile, place the mushrooms in the food processor bowl (no need to clean it). Blend until there is a fine, mince-like texture. Again, this can be done by hand, but it takes a long time and might be less convincingly like mince. | Add the mushrooms to the pan, turn up the heat a little, and season well with salt and pepper. Fry for a further 10 minutes. | Add the tomato purée, oregano, cinnamon and sugar (if using). Stir and fry for 1 minute. | Add the lentils (and the liquid too), a tin of water (400ml/14fl oz) and the milk. Bring to the boil and cover with a lid. Reduce to a simmer and cook for about 45 minutes, stirring only a couple of times. Remove the lid and cook for a further 10–15 minutes, until the sauce is thickened and rich. Season with salt and pepper, to taste. | To serve, toss the ragù through pasta and top with cheese (if using). Alternatively, freeze in portions for future use.",https://www.bbc.co.uk/food/recipes/mushroom_and_lentil_rag_33410,2026-07-14,lentil | mushroom,Italian | ragù,Autumn | Winter,vegetarian
Humble pie,main,Serves 6,4,0.667,egg | salt,30m,2h,,0.56,"1 large cauliflower | 2 leeks, trimmed and cut into 2cm/¾in slices | knob of butter | 200g/7oz button mushrooms, halved | 115g/4oz frozen petits pois | salt and freshly ground black pepper | 55g/2oz butter | 55g/2oz plain flour | 450ml/¾ pint hot milk | 2 tsp Dijon mustard | 115g/4oz mature cheddar, coarsely grated | 55g/2oz Parmesan, coarsely grated (or alternative vegetarian hard cheese) | salt and freshly ground black pepper | 375g ready-rolled puff pastry | 1 free-range egg, beaten","0.67large cauliflower | 1.33leeks, trimmed and cut into 1.33cm/0.5in slices | knob of butter | 133.33g/4.67 oz button mushrooms, halved | 76.67g/2.67 oz frozen petits pois | salt and freshly ground black pepper | 36.67g/1.33 oz butter | 36.67g/1.33 oz plain flour | 300 ml/0.5pint hot milk | 1.33 tsp Dijon mustard | 76.67g/2.67 oz mature cheddar, coarsely grated | 36.67g/1.33 oz Parmesan, coarsely grated (or alternative vegetarian hard cheese) | salt and freshly ground black pepper | 250 g ready-rolled puff pastry | 0.67free-range egg, beaten","Preheat the oven to 200C/180C Fan/Gas 6. | Break the cauliflower into fairly small, even-sized florets. Some of the smaller leaves can be chopped into pieces. | To make the vegetable filling, bring a large pan of salted water to the boil. Add the leeks and boil for 4 minutes. Add the cauliflower florets and leaves, and bring back to the boil for 3 minutes until just tender. Drain and run under cold water to stop the cooking. Drain well and set aside. | To make the cheese sauce, melt the butter in a large saucepan over a medium heat. Sprinkle in the flour and stir for 1 minute. Gradually add the hot milk, whisking until thickened. Stir in the mustard, cheddar and Parmesan, then season well with salt and freshly ground black pepper. Leave to cool for 5 minutes. | To finish the vegetable filling, heat the knob of butter over a high heat. Add the mushrooms and pan-fry for 3 minutes until golden. Season with salt and pepper, then set aside to cool. Add all the cold vegetables and frozen peas to the cheese sauce, stir and check the seasoning. Spoon into the pie dish. | Unroll the pastry and cut a 7cm/2¾in strip from the short side and chill this in the fridge. Roll out the remaining pastry to slightly bigger than the top of your pie dish. Brush beaten egg around the edge of the dish, then place the pastry on top and press down on the edges to seal. Trim any excess pastry with a sharp knife and make a small slit in the centre for the steam to escape. Brush the top with beaten egg. | Roll out the reserved strip of pastry to be a bit thinner, then roll it up tightly. Using a sharp knife, slice to make long thin strips. Unravel and dip them into the egg wash, then arrange on top of the pie, in a random pattern. Bake for about 40–45 minutes, until the pastry is golden and the sauce is bubbling around the edges.",https://www.bbc.co.uk/food/recipes/humble_pie_39148,2026-07-14,cauliflower | cheddar | parmesan,British | bake,Autumn | Winter,vegetarian
Broccoli pasta bake,main,Serves 4,4,1,,30m,30m,,0.6211,"50g/1¾oz unsalted butter | 50g/1¾oz plain flour | 625ml/21fl oz semi-skimmed milk | 175g/6oz cheddar, grated | 2 tbsp mascarpone | 1 tsp Dijon mustard | pinch cayenne pepper | 325g/11½oz pasta shells (conchiglie) | 350g/12¼oz broccoli, stalks and florets roughly chopped | 1 leek, sliced | 8 cherry tomatoes, halved | 1 tbsp pine nuts (optional) | 1 tbsp breadcrumbs | 1 tbsp grated Parmesan (or similar vegetarian hard cheese) | salt and freshly ground black pepper","50g/1¾oz unsalted butter | 50g/1¾oz plain flour | 625ml/21fl oz semi-skimmed milk | 175g/6oz cheddar, grated | 2 tbsp mascarpone | 1 tsp Dijon mustard | pinch cayenne pepper | 325g/11½oz pasta shells (conchiglie) | 350g/12¼oz broccoli, stalks and florets roughly chopped | 1 leek, sliced | 8 cherry tomatoes, halved | 1 tbsp pine nuts (optional) | 1 tbsp breadcrumbs | 1 tbsp grated Parmesan (or similar vegetarian hard cheese) | salt and freshly ground black pepper","Preheat the oven to 190C/170C Fan/Gas 5. | Melt the butter in a saucepan over a medium heat. Stir in the flour and cook for a minute, until it starts to smell biscuity. Gradually add the milk, whisking constantly, until smooth. Season with salt and pepper and bring the sauce to a gentle simmer, stirring frequently. Cook for around 4 minutes, until thick and silky. | Add two-thirds of the cheddar (reserving some for topping), the mascarpone, mustard and cayenne and cook until the cheese has melted. Remove from the heat and set aside. | Cook the pasta in a saucepan of plenty of boiling water according to the packet instructions. About 2 minutes before the end of the pasta cooking time, add the broccoli and leek. Drain and return to the pan. | Stir in the cheese sauce to thoroughly coat the pasta and vegetables. | Spoon into an ovenproof dish, making sure it is spread evenly. Scatter the cherry tomatoes and pine nuts (if using) on top, followed by the breadcrumbs, remaining cheddar and Parmesan. | Bake for 20–25 minutes, until bubbling hot and the top is golden brown.",https://www.bbc.co.uk/food/recipes/broccoli_and_cheese_42991,2026-07-14,cheddar | pasta,Italian | bake,Autumn | Winter,vegetarian
Easy veggie korma with naan,main,Serves 4,4,1,,30m,30m,,0.6489,"190g/6½oz rice | 2 tsp coconut oil | 1 onion, finely chopped | 3 garlic cloves, finely chopped | 1 thumb ginger, grated | 1 broccoli, chopped into florets | handful green beans or mangetout | 1 carrot, peeled and sliced thickly | handful baby corn | 250g/9oz natural yoghurt | 1 tsp ground cumin | 1 tsp garam masala | 1 tsp ground turmeric | 1 tsp mild curry powder | 2 tbsp tomato purée | 1 vegetable stock cube | 150g/ 5½oz plain flour, plus extra for dusting | 75g/2¾oz Greek-style yoghurt | 1 tsp baking powder | pinch of salt","190g/6½oz rice | 2 tsp coconut oil | 1 onion, finely chopped | 3 garlic cloves, finely chopped | 1 thumb ginger, grated | 1 broccoli, chopped into florets | handful green beans or mangetout | 1 carrot, peeled and sliced thickly | handful baby corn | 250g/9oz natural yoghurt | 1 tsp ground cumin | 1 tsp garam masala | 1 tsp ground turmeric | 1 tsp mild curry powder | 2 tbsp tomato purée | 1 vegetable stock cube | 150g/ 5½oz plain flour, plus extra for dusting | 75g/2¾oz Greek-style yoghurt | 1 tsp baking powder | pinch of salt","Place the rice into a cup, take note of where the rice comes up to and tip into a large saucepan (it might be the whole cup). Fill the same cup with water up to the noted line and tip into the saucepan, repeat once more. Bring to the boil, cover then simmer for 10 minutes, then turn the heat off completely, leaving the lid on. | Put the coconut oil into a pan and fry the onion, garlic and ginger. Add the chopped vegetables. | For the curry paste, mix all the ingredients together with 200ml/7fl oz boiling water in a jug. Pour into the pan with the yoghurt. Season with salt and pepper. Stir well place a lid on the pan and simmer for 10 minutes over a low heat. | For the naan breads, mix all the ingredients together in a bowl and roll into a ball. Split into four and roll out into oval shapes on a floured, clean surface. Dry-fry (no oil) the naans for a few minutes, or until golden-brown. Serve the curry with the naan and rice.",https://www.bbc.co.uk/food/recipes/veggie_korma_naan_16659,2026-07-14,rice | yoghurt,indian | curry,Autumn | Winter,vegetarian
Vegetarian lentil cottage pie,main,Serves 6,4,0.667,nutmeg | salt,30m,1h,,0.5781,"1 cauliflower head, cut into florets | 240g/9oz green beans, halved | 1 tbsp vegetable oil | salt and freshly ground black pepper | 1 tbsp vegetable oil | 4 celery sticks, finely chopped | 250g/9oz swede, peeled and grated | 8 carrots, peeled and grated | 1 tbsp dried mixed herbs | 3 tbsp tomato purée | 3 x 400g tins green lentils, drained and rinsed | 1 reduced salt vegetable stock cube | 500ml/18fl oz boiling water | pinches freshly grated nutmeg | 600g/1lb 5oz white potatoes, scrubbed and roughly chopped | 30g/1oz butter | salt and freshly ground black pepper","0.67cauliflower head, cut into florets | 160g/6 oz green beans, halved | 0.67 tbsp vegetable oil | salt and freshly ground black pepper | 0.67 tbsp vegetable oil | 2.67celery sticks, finely chopped | 166.67g/6 oz swede, peeled and grated | 5.33carrots, peeled and grated | 0.67 tbsp dried mixed herbs | 2 tbsp tomato purée | 2x 266.67 g tins green lentils, drained and rinsed | 0.67reduced salt vegetable stock cube | 333.33 ml/12 fl oz boiling water | pinches freshly grated nutmeg | 400g/0.67 lb 3.33 oz white potatoes, scrubbed and roughly chopped | 20g/0.67 oz butter | salt and freshly ground black pepper","Preheat the oven to 200C/180C Fan/Gas 6. | To make the cauliflower, place the cauliflower and green beans in a large roasting tray. Drizzle with the oil, season with salt and pepper and toss. Roast for 20–25 minutes, or until tender and just charred. | Meanwhile, to make the cottage pie, heat the oil in a saucepan over a medium heat and fry the celery, swede and half the carrots for around 5 minutes, until starting to soften. Stir in the mixed herbs and tomato purée and cook for 1 minute. Add the lentils and mix well, then crumble in the stock cube and pour in the boiling water. Season to taste with salt, pepper and nutmeg, then cover and simmer for 15 minutes. | Meanwhile, bring the potatoes to the boil in a large saucepan. Reduce the heat and simmer for 10 minutes. Add the remaining grated carrots and return to the boil. Turn the heat down and simmer for another 5 minutes until tender. | Drain the potatoes and carrots, then return to the pan, add the butter and season with salt, pepper and nutmeg to taste, then mash until smooth and set aside. | Preheat the grill to high. Tip the hot lentil mixture into a large baking dish and spoon the mash over the top. Use a fork to level it out and make ridges along the top, then grill for 5 minutes, or until the top is golden brown and crisp. | Serve the cottage pie with the roasted cauliflower and green beans.",https://www.bbc.co.uk/food/recipes/vegetarian_cottage_pie_48064,2026-07-14,lentil | potato,British | bake,Autumn | Winter,vegetarian
How to make cauliflower cheese,main,Serves 6 as an accompaniment,4,0.667,salt,30m,1h,,0.7211,"1 medium cauliflower (around 700g/1lb 9oz), cut into florets, stem sliced and green outer leaves thickly shredded | 50g/1¾oz butter | 50g/1¾oz plain flour (or gluten-free plain flour) | 500ml/18fl oz milk | 120g/4½oz mature cheddar, coarsely grated | 1 tsp English or Dijon mustard | flaked sea salt and ground black pepper","0.67medium cauliflower (around 466.67g/0.67 lb 6oz), cut into florets, stem sliced and green outer leaves thickly shredded | 33.33g/0.670.5 oz butter | 33.33g/0.670.5 oz plain flour (or gluten-free plain flour) | 333.33 ml/12 fl oz milk | 80g/2.670.33 oz mature cheddar, coarsely grated | 0.67 tsp English or Dijon mustard | flaked sea salt and ground black pepper","Preheat the oven to 200C/180C Fan/Gas 6. | Half fill a large saucepan with water and bring to the boil. Add the florets, leaves and sliced stem for  4–5 minutes or until the florets are just tender when tested with the tip of knife. Drain in a colander and tip into a shallow baking dish. | Put the butter, flour and milk in a medium saucepan. Whisk together with over a medium heat for 3–4 minutes, or until smooth and thick. | Add roughly half of the grated cheese and the mustard. Cook for 1 minute, stirring constantly until the cheese melts. Add a splash more milk if the sauce thickens too much. Season with salt and pepper. | Pour the cheese sauce over the cooked cauliflower and sprinkle with the remaining cheese. | Place on a baking tray and bake for 20 minutes, or until lightly browned and bubbling. Serve.",https://www.bbc.co.uk/food/recipes/cauliflower_cheese_92618,2026-07-14,cheese | cauliflower,British | bake,Winter,vegetarian
Vegetable fajitas,main,Serves 4,4,1,,30m,30m,,0.6461,"3 mixed peppers, deseeded and thinly sliced | 1 red onion, halved and thinly sliced | 2 garlic cloves, crushed | 1–2 tbsp olive oil | 400g tin black-eyed beans, drained and rinsed | 1 tsp ground cumin | 1½ tsp sweet smoked paprika | 1 tsp dried oregano | 2 tbsp finely chopped fresh coriander, plus extra to garnish | 8 soft corn or wheat flour tortillas | 8 tbsp soured cream or crème fraîche | 4 tbsp grated cheddar | ½ red onion, finely chopped | ¼ cucumber, deseeded and finely chopped | 2 tomatoes, finely chopped | 1 lime, juice only | 1 red chilli, finely chopped | 2 tbsp finely chopped fresh mint","3 mixed peppers, deseeded and thinly sliced | 1 red onion, halved and thinly sliced | 2 garlic cloves, crushed | 1–2 tbsp olive oil | 400g tin black-eyed beans, drained and rinsed | 1 tsp ground cumin | 1½ tsp sweet smoked paprika | 1 tsp dried oregano | 2 tbsp finely chopped fresh coriander, plus extra to garnish | 8 soft corn or wheat flour tortillas | 8 tbsp soured cream or crème fraîche | 4 tbsp grated cheddar | ½ red onion, finely chopped | ¼ cucumber, deseeded and finely chopped | 2 tomatoes, finely chopped | 1 lime, juice only | 1 red chilli, finely chopped | 2 tbsp finely chopped fresh mint","Put the peppers, red onion and garlic in a bowl. Add the oil and mix well. | Heat a large frying pan until hot. Add the vegetable mixture and cook for 3–4 minutes before stirring. Add the beans and cook for 2–3 minutes. | Stir in the cumin, paprika and oregano and cook for 1 minute. Remove from the heat, scatter over the coriander and season well. | Meanwhile, to make the salsa, mix all the ingredients in a bowl, season and set aside. | To assemble the fajitas, warm the tortillas according to packet instructions and place on serving plates or a board. Spoon some of the vegetable and bean filling onto each tortilla, top with the soured cream and cheese and roll up. Serve with the salsa and garnish with extra coriander.",https://www.bbc.co.uk/food/recipes/vegetable_fajitas_92165,2026-07-14,pepper | bean,Mexican | fajita,Autumn | Winter,vegetarian
